Título,Visualizações,Likes,Data de Publicação,Comentários,Duração,Regiões Restritas,Taxa de Engajamento
2024 Abu Dhabi Grand Prix,829660,38746,2024-12-08 16:10:25+00:00,2170,00:08:10,"['BY', 'RU']",4.93
2024 Qatar Grand Prix,5036414,99458,2024-12-03 14:01:35+00:00,4472,00:08:04,"['BY', 'RU']",2.06
2024 Las Vegas Grand Prix,6433037,136880,2024-11-28 17:07:39+00:00,4408,00:08:15,"['BY', 'RU']",2.2
2024 Sao Paulo Grand Prix,7981373,154697,2024-11-04 14:19:44+00:00,9872,00:08:10,"['BY', 'RU']",2.06
2024 Mexico City Grand Prix,6429057,129644,2024-10-28 09:22:41+00:00,5973,00:08:14,"['BY', 'RU']",2.11
2024 United States Grand Prix,5900090,116240,2024-10-25 00:31:26+00:00,7478,00:08:15,"['BY', 'RU']",2.1
2024 Singapore Grand Prix,5649094,103867,2024-10-25 00:31:26+00:00,3199,00:07:57,"['BY', 'RU']",1.9
2024 Azerbaijan Grand Prix,6882044,138679,2024-09-15 15:59:47+00:00,7501,00:08:11,"['BY', 'RU']",2.12
2024 Italian Grand Prix,6667731,138484,2024-09-04 14:35:01+00:00,5479,00:08:15,"['BY', 'RU']",2.16
2024 Dutch Grand Prix,5725978,113063,2024-08-25 19:49:01+00:00,3564,00:08:01,"['BY', 'RU']",2.04
2024 Belgian Grand Prix,6807595,130346,2024-08-14 08:10:34+00:00,6388,00:08:09,"['BY', 'RU']",2.01
2024 Hungarian Grand Prix,8870527,158829,2024-07-22 09:48:32+00:00,11688,00:08:10,"['BY', 'RU']",1.92
2024 British Grand Prix,7483444,177074,2024-07-09 13:33:58+00:00,7835,00:08:06,"['BY', 'RU']",2.47
2024 Austrian Grand Prix,6256718,125256,2024-07-04 15:56:48+00:00,7026,00:08:01,"['BY', 'RU']",2.11
2024 Spanish Grand Prix,5373917,105301,2024-06-23 15:19:00+00:00,3670,00:08:01,"['BY', 'RU']",2.03
2024 Canadian Grand Prix,6386479,122724,2024-06-21 21:49:32+00:00,4397,00:08:11,"['BY', 'RU']",1.99
2024 Monaco Grand Prix,8997171,168429,2024-05-26 16:13:00+00:00,6860,00:08:08,"['BY', 'RU']",1.95
2024 Emilia Romagna Grand Prix,5590977,103063,2024-05-19 19:14:09+00:00,3648,00:08:01,"['BY', 'RU']",1.91
2024 Miami Grand Prix,7600678,181800,2024-05-10 10:51:13+00:00,6500,00:08:08,"['BY', 'RU']",2.48
2024 Chinese Grand Prix,6705163,116851,2024-04-21 09:52:18+00:00,4637,00:08:10,"['BY', 'RU']",1.81
2024 Japanese Grand Prix,7170957,131508,2024-04-16 07:50:59+00:00,4766,00:08:02,"['BY', 'RU']",1.9
2024 Australian Grand Prix,9656988,207725,2024-04-01 02:30:41+00:00,7097,00:08:15,"['BY', 'RU']",2.22
2024 Saudi Arabian Grand Prix,6645812,122883,2024-03-09 19:30:26+00:00,5159,00:08:07,"['BY', 'RU']",1.93
2024 Bahrain Grand Prix,6511759,132581,2024-03-02 17:54:46+00:00,8880,00:07:22,"['BY', 'RU']",2.17
